Sector,Year,Current,Previous,Growth
Construction,2021,31.51,29.31,2.2
Construction,2022,40.76,31.51,9.25
Construction,2024,40.5,39.42,1.08
Construction,2025,42.67,40.5,2.16
Distribution/Hospitality,2021,102.97,98.37,4.59
Distribution/Hospitality,2022,119.24,102.97,16.27
Distribution/Hospitality,2023,121.73,119.24,2.5
Finance,2020,25.75,23.95,1.8
Finance,2021,26.41,25.75,0.66
Finance,2022,27.04,26.41,0.63
Finance,2023,27.64,27.04,0.6
Finance,2025,29.04,27.04,2.0
Tech/ICT,2020,31.45,30.09,1.36
Tech/ICT,2021,35.54,31.45,4.09
Tech/ICT,2022,38.86,35.54,3.32
Tech/ICT,2023,39.69,38.86,0.82
Tech/ICT,2024,40.87,39.69,1.19
